Scenario,Window_Size,Accuracy,Precision,Recall,F1-Score,Kappa,ROC-AUC
Dynamic LULC,166,0.7741291727140783,0.7550785741663473,0.764751552795031,0.759884281581485,0.5466791455126094,0.848198948161186
Static LULC,569,0.76856750930825,0.75,0.7393731215113782,0.7446486486486487,0.5330575262731716,0.8471976331778588
