Scenario,Accuracy,Precision,Recall,F1-Score,Kappa,ROC-AUC
Incremental Logistic Regression (Dynamic LULC),0.7922535211267606,0.5905292479108635,0.7043189368770764,0.6424242424242423,0.49761075777393854,0.8453558000278514
Incremental Logistic Regression (Static LULC),0.8088105726872247,0.6576923076923077,0.5719063545150501,0.6118067978533095,0.48579809388602974,0.8257909138916003
