Scenario,Accuracy,Precision,Recall,F1-Score,Kappa,ROC-AUC
ARF Dynamic LULC (Incremental – Fast),0.8070484581497798,0.6846846846846847,0.5049833887043189,0.5812619502868069,0.459595487443501,0.8604236947791163
ARF Static LULC (Incremental – Fast),0.781305114638448,0.6220095693779905,0.43478260869565216,0.5118110236220472,0.3765501341195769,0.8539464694771531
