Scenario,Accuracy,Precision,Recall,F1-Score,Kappa,ROC-AUC
Dynamic LULC (XGB-Optimized),0.7922535211267606,0.5779376498800959,0.8006644518272426,0.6713091922005571,0.5251694077723896,0.8775419261145483
Static LULC (XGB-Optimized),0.8052863436123348,0.5965346534653465,0.8060200668896321,0.6856330014224751,0.5491117410522495,0.8820310124657952
