Year,Feature,MeanAbsSHAP
2019,precip_t0,0.04967472572910462
2019,precip_3d,0.04967472572910518
2020,precip_t0,0.0424639273672241
2020,precip_3d,0.04246392736722448
2021,precip_t0,0.0284188455845852
2021,precip_3d,0.02841884558458524
2022,precip_t0,0.04037549271813585
2022,precip_3d,0.04037549271813601
2023,precip_t0,0.036858800903144126
2023,precip_3d,0.036858800903143404
