WADMPR,WADMKK,WADMKC,Target,Tanggal,Month,Year,twi_final,elevation_mean,slope_mean,soil_type,drainage_pct,precip_t0,precip_t1,precip_t2,ndvi,mndwi,ndbi,precip_3d,precip_7d,nb_precip_t0,nb_precip_t1,nb_precip_t2,nb_twi,nb_elevation,nb_slope,nb_drainage,nb_soil,nb_ndvi,nb_mndwi,nb_ndbi,1daylag,3daylag,7daylag,ibi,nb_ibi
JAWA BARAT,GARUT,BANYURESMI,0,1/8/2019,1,2019,6.375420231,733.8891506,6.151781898,4,2.867764206,0,58.19499779,0.954999983,0.6974937,-0.013426201,-0.09805693,59.14999777,81.89999691,0.265384605,47.52538289,0.694038447,7.830327039,942.2852524,10.88944131,2.533435392,4,0.676275226,0.071179264,-0.143433599,64.58581886,100.6510676,115.9174299,-0.091636505,0.221955244
BANTEN,LEBAK,BANJARSARI,0,1/9/2019,1,2019,8.090567369,67.34012786,5.116640031,4,2.687194503,5.839999795,3.409999967,32.12499905,0.637986224,0.22032139,-0.23579864,41.37499881,51.45499849,17.31583299,3.359166645,43.72791612,8.409854647,106.844498,4.447014284,2.562825907,4.666666667,0.681773341,0.182170732,-0.162498886,192.1629206,49.70851309,413.3135593,0.87021497,0.466819948
JAWA TENGAH,PATI,PATI,1,1/10/2019,1,2019,10.19456597,9.862193178,0.871521568,1,4.357726131,0.420000002,3.014999986,14.9000001,0.582459096,0.082421683,-0.036315878,18.33500008,23.84499983,0.866388865,3.108055509,9.293055137,10.6550098,99.75953779,3.772727207,3.126554848,5.5,0.609987289,0.190775176,-0.042505891,11.60568107,68.86353788,228.6629539,-0.495392854,-0.313211536
JAWA TIMUR,MADIUN,WONOASRI,0,1/10/2019,1,2019,8.995534301,100.6941204,3.131868694,4,3.515161112,35.41499805,0.029999999,0,0.742242455,0.071909406,-0.052692596,35.44499805,41.92999778,33.59181742,1.133636336,0.189090903,9.92125691,133.0014545,2.781093286,3.705386069,4.454545455,0.715335585,0.00402222,-0.093428504,2359.292076,1542.149399,455.2404072,-0.305484217,-0.020888673
JAWA TENGAH,WONOGIRI,PRACIMANTORO,0,1/10/2019,1,2019,8.092339396,271.4669105,6.347692768,6,2.838174683,2.620000005,3.079999924,0,0.750602572,-0.130559013,0.049597854,5.699999928,8.779999841,3.015000007,2.538333258,0.021666666,8.995681454,254.2544607,6.42544401,2.316728933,6,0.741654318,-0.111640467,0.001212123,927.9400836,596.6262495,107.2002405,-0.816619723,-0.724280802
JAWA BARAT,PURWAKARTA,TEGALWARU,0,1/10/2019,1,2019,8.960846209,288.2200107,8.771824597,4,2.077382498,0.015,3.730000019,14.78499985,0.630010821,0.13864703,-0.140850318,18.52999987,47.14499868,0.491923062,3.903076825,15.26538433,9.435514017,278.7926667,7.533804584,2.59272448,4.230769231,0.599738768,0.032827613,-0.154112078,576.2567603,4048.653341,177.3696829,0.170368201,0.282606902
JAWA TIMUR,TRENGGALEK,PANGGUL,0,1/10/2019,1,2019,7.200424473,257.6284887,15.0301694,6,1.760978687,0,10.2349999,0,0.727687905,-0.137905003,-0.158667444,10.2349999,32.49499987,0,11.91583306,0,7.019510768,464.9245987,15.43305988,1.818855959,6,0.702196021,-0.123529362,-0.17111469,0.695326066,2.524380582,7.53276933,0.348840743,0.38526208
JAWA BARAT,GARUT,CIGEDUG,1,1/11/2019,1,2019,7.451595238,1460.698024,12.02214723,4,0.928826007,10.10500002,27.95999908,7.875,0.64767764,0.29842053,-0.157244255,45.9399991,60.58999889,12.98176415,22.51499975,8.390882092,7.480333387,1153.575618,11.92967069,2.395534417,4,0.650405717,0.196978877,-0.184720972,13.95779191,0.605052064,22.98699746,0.487901371,0.496543074
JAWA BARAT,SUMEDANG,SUMEDANG UTARA,0,1/11/2019,1,2019,7.945227343,541.7697141,7.399961441,4,2.607034498,7.799999714,3.049999952,31.47999859,0.632972023,0.14314488,-0.103369427,42.32999825,82.75499654,7.861956348,3.316086854,14.91847776,7.466431455,696.6859746,11.81549437,2.343923495,4.260869565,0.70223313,0.121275865,-0.170886549,373.7410249,116.2077943,46.54448305,0.068354265,0.339183079
JAWA BARAT,TASIKMALAYA,SINGAPARNA,0,1/11/2019,1,2019,8.924473596,414.9738472,2.667738071,4,4.723707665,1.030000001,23.15999937,15.17499876,0.667164319,0.042700092,-0.163250511,39.36499813,56.71499759,3.141249868,20.49749944,14.99890559,8.036315951,531.4722773,7.532828646,2.781885445,3.90625,0.644467527,0.037314575,-0.194308278,47.3452208,6.006367609,11.42741268,0.547904728,0.553867849
