Scenario,Accuracy,Precision,Recall,F1-Score,Kappa,ROC-AUC
Dynamic LULC (XGBoost),0.801056338028169,0.5899280575539568,0.8172757475083057,0.6852367688022284,0.5452893481210173,0.882575049237074
Static LULC (XGBoost),0.8070484581497798,0.6020408163265306,0.7892976588628763,0.683068017366136,0.5479559676941235,0.8790705861644077
