Scenario,Accuracy,Precision,Recall,F1-Score,Kappa,ROC-AUC
Dynamic MLP (Batch),0.8961267605633803,0.7272727272727273,0.6464646464646465,0.6844919786096256,0.6225786106856473,0.9117507699597251
Static MLP (Batch),0.8881057268722466,0.7402597402597403,0.5671641791044776,0.6422535211267606,0.5773084626279628,0.8983561848146846
